MatchId;Home midfield;Away midfield;Home Right Defence;Away Right Defence;Home Central Defence;Away Central Defence;Home Left Defence;Away Left Defence;Home Right Attack;Away Right Attack;Home Central Attack;Away Central Attack;Home Left Attack;Away Left Attack;Home Indirect Defence;Away Indirect Defence;Home Indirect Attack;Away Indirect Attack;Home Attitude;Away Attitude;Home Tactic;Away Tactic;Home Tactic Level;Away Tactic Level;Home Goals;Away Goals
631159035;5;11;7;20;8;32;7;21;3;17;4;27;4;20;7;25;8;21;(Hidden);(Hidden);Normal;Attack on wings;(no tactic);16;0;6
631159036;21;22;27;16;36;15;20;11;17;19;24;16;15;14;22;15;23;13;(Hidden);(Hidden);Play creatively;Play creatively;10;14;6;2
631159037;15;9;16;28;35;33;17;29;25;27;32;39;18;22;26;19;20;16;(Hidden);(Hidden);Attack in the Middle;Play creatively;16;13;4;2
631159038;12;5;14;6;23;6;15;5;14;6;21;5;14;7;16;8;17;8;(Hidden);(Hidden);Pressing;Normal;5;(no tactic);6;0
631159039;4;4;7;7;7;8;7;7;5;3;5;4;5;4;9;7;10;8;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);1;2
631159040;12;20;23;43;33;52;25;33;9;19;12;15;10;20;22;30;16;22;(Hidden);(Hidden);Play creatively;Normal;12;(no tactic);0;2
631159041;4;4;7;7;8;7;7;7;4;6;4;6;4;6;8;9;8;10;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);2;1
631159042;5;11;6;15;6;25;5;16;7;12;5;17;7;12;8;17;8;16;(Hidden);(Hidden);Normal;Pressing;(no tactic);5;0;6
631159043;9;10;30;18;35;35;29;20;22;24;32;30;21;23;20;25;20;21;(Hidden);(Hidden);Play creatively;Counter-attacks;14;8;3;4
631159044;5;18;6;32;7;42;6;24;5;15;4;23;6;14;7;24;8;27;(Hidden);(Hidden);Normal;Play creatively;(no tactic);11;0;8
631159045;12;4;22;7;30;8;22;7;15;4;22;4;16;4;23;7;24;8;(Hidden);(Hidden);Attack on wings;Normal;17;(no tactic);10;0
631159046;9;4;27;7;39;7;29;7;11;6;15;6;11;6;23;9;17;10;(Hidden);(Hidden);Pressing;Normal;5;(no tactic);6;0
631159047;5;5;5;6;7;7;6;6;5;7;4;5;6;7;7;8;8;8;(Hidden);(Hidden);Normal;Normal;(no tactic);(no tactic);1;3
631159048;29;8;56;30;54;36;41;30;27;27;25;37;16;24;34;21;27;20;(Hidden);(Hidden);Normal;Play creatively;(no tactic);13;0;0
631159049;4;12;6;23;7;35;7;24;5;21;5;28;5;22;9;26;10;23;(Hidden);(Hidden);Normal;Attack on wings;(no tactic);19;0;8
